Date,Open,High,Low,Close,Volume,Time,Prev Close,Prev Open,PrevOPDiff,Prev High,Prev Low,Prev Volume
2014-01-03,18.97,19.6,18.97,19.32,56629,1,19.12,19.87,0.75,20.19,18.9,67963.0
2014-01-06,19.3,19.73,19.1,19.44,59479,2,19.32,18.97,-0.3500000000000014,19.6,18.97,56629.0
2014-01-07,19.5,19.72,19.3,19.48,44238,3,19.44,19.3,-0.14000000000000057,19.73,19.1,59479.0
2014-01-08,19.5,20.38,19.45,19.86,148330,4,19.48,19.5,0.019999999999999574,19.72,19.3,44238.0
2014-01-09,19.76,20.49,19.31,19.45,75597,5,19.86,19.5,-0.35999999999999943,20.38,19.45,148330.0
2014-01-10,19.5,19.63,19.06,19.22,62967,6,19.45,19.76,0.3100000000000023,20.49,19.31,75597.0
2014-01-13,19.22,19.6,19.22,19.47,42766,7,19.22,19.5,0.28000000000000114,19.63,19.06,62967.0
2014-01-14,19.49,19.7,19.4,19.41,33144,8,19.47,19.22,-0.25,19.6,19.22,42766.0
2014-01-15,19.47,19.77,19.35,19.69,60515,9,19.41,19.49,0.0799999999999983,19.7,19.4,33144.0
2014-01-16,19.6,19.75,19.48,19.52,55254,10,19.69,19.47,-0.22000000000000242,19.77,19.35,60515.0
2014-01-17,19.5,19.68,19.23,19.51,59173,11,19.52,19.6,0.08000000000000185,19.75,19.48,55254.0
2014-01-20,19.57,20.83,19.51,20.63,215680,12,19.51,19.5,-0.010000000000001563,19.68,19.23,59173.0
2014-01-21,20.7,22.74,20.7,21.69,770874,13,20.63,19.57,-1.0599999999999987,20.83,19.51,215680.0
2014-01-22,21.81,22.45,21.6,21.88,240963,14,21.69,20.7,-0.990000000000002,22.74,20.7,770874.0
2014-01-23,21.8,22.8,21.8,22.35,345271,15,21.88,21.81,-0.07000000000000028,22.45,21.6,240963.0
2014-01-24,22.3,22.6,21.42,21.62,128841,16,22.35,21.8,-0.5500000000000007,22.8,21.8,345271.0
2014-01-27,21.1,22.0,20.74,21.02,170871,17,21.62,22.3,0.6799999999999997,22.6,21.42,128841.0
2014-01-28,21.18,22.99,20.8,22.72,800451,18,21.02,21.1,0.08000000000000185,22.0,20.74,170871.0
2014-01-29,23.19,23.88,22.72,23.36,815131,19,22.72,21.18,-1.5399999999999991,22.99,20.8,800451.0
2014-01-30,23.2,23.2,22.17,22.72,189821,20,23.36,23.19,-0.16999999999999815,23.88,22.72,815131.0
2014-01-31,22.95,23.44,22.74,22.86,107516,21,22.72,23.2,0.4800000000000004,23.2,22.17,189821.0
2014-02-03,22.79,22.99,22.1,22.27,54641,22,22.86,22.95,0.08999999999999986,23.44,22.74,107516.0
2014-02-04,21.8,26.46,21.8,26.21,1276278,23,22.27,22.79,0.5199999999999996,22.99,22.1,54641.0
2014-02-05,26.3,27.36,25.51,25.8,1019015,24,26.21,21.8,-4.41,26.46,21.8,1276278.0
2014-02-06,26.0,26.99,25.85,26.41,338479,25,25.8,26.3,0.5,27.36,25.51,1019015.0
2014-02-07,26.76,29.08,26.76,27.85,1597538,26,26.41,26.0,-0.41000000000000014,26.99,25.85,338479.0
2014-02-10,28.26,28.76,27.65,28.06,351915,27,27.85,26.76,-1.0899999999999999,29.08,26.76,1597538.0
2014-02-11,28.29,29.25,27.6,28.72,487039,28,28.06,28.26,0.20000000000000284,28.76,27.65,351915.0
